,Unnamed: 0,year,make,model,final_price,mileage,engine,zipcode,engine string
1,1,1997,Chevrolet,Chevrolet Suburban,17000.0,67000,5700.0,60069,5.7L Vortec V8
2,2,1990,Porsche,Porsche 964 911,225000.0,1000,3800.0,84790,3.8-Liter Flat-Six 
3,3,2003,Toyota,Toyota Pickup,24750.0,116000,3400.0,90027,3.4-Liter DOHC V6
5,5,1992,Volkswagen,Volkswagen Golf/Rabbit Cabriolet,10750.0,100000,1800.0,98208,1.8-Liter Inline-Four
6,6,2008,Toyota,Toyota FJ Cruiser,32500.0,9000,4000.0,57108,4.0-Liter V6
7,7,1978,Chevrolet,Chevrolet Pickup,33000.0,95000,5735.45,60175,350ci V8
8,8,2018,Dodge,Dodge Challenger,106000.0,8000,6200.0,90265,Supercharged 6.2L Hemi V8
10,10,2001,Mercedes-Benz,Mercedes-Benz R129 SL,26250.0,28000,5000.0,7945,5.0-Liter V8
11,11,1962,Triumph,Triumph TR4,29000.0,107000,2138.0,95030,"2,138cc Inline-Four"
12,12,2002,Pontiac,Pontiac Firebird,31000.0,24000,5700.0,31315,5.7-liter LS1 V8
15,15,2008,Honda,Honda S2000,46000.0,32000,2200.0,97217,2.2-Liter Inline-Four
17,17,1975,Triumph,Triumph Motorcycles,9133.0,17000,740.0,48230,740cc Four-Stroke Triple
18,18,1995,Porsche,Porsche 993 911,60000.0,47000,3600.0,43551,3.6-Liter Flat-Six
19,19,1978,Chevrolet,Chevrolet Corvette C3,11501.0,83000,5817.385,15642,Replacement 355ci V8
20,20,2001,Porsche,Porsche 986 Boxster,28000.0,18000,3200.0,7960,3.2-Liter Flat-Six
21,21,1966,Ford,Ford Mustang 1964.5-1966,20500.0,76000,5751.837,6074,351ci Windsor V8
22,22,1987,Chevrolet,Chevrolet Corvette C4,23500.0,12000,5700.0,19382,5.7-Liter L98 V8
24,24,1969,Mercedes-Benz,Mercedes-Benz W113 SL,60520.0,34000,2800.0,97330,2.8-Liter M103 Inline-Six
25,25,2001,Porsche,Porsche 996 911,25500.0,80000,3400.0,89014,3.4-Liter M96 Flat-Six
26,26,2008,BMW,BMW E63/E64 M6,27000.0,30000,5000.0,11963,5.0-Liter V10
28,28,1982,Porsche,Porsche 911SC,48500.0,92000,3000.0,19382,3.0-Liter Flat-Six
30,30,2003,Mercedes-Benz,Mercedes-Benz R230 SL,16750.0,58000,5000.0,7074,5.0-Liter V8
32,32,2005,BMW,BMW E46 M3,29750.0,32000,3200.0,1757,3.2-Liter Inline-Six
33,33,1959,Chrysler,Chrysler Imperial,61000.0,51000,6767.831,1757,413ci V8
34,34,1992,Lexus,Lexus SC Coupe,11500.0,94000,4000.0,31523,4.0-Liter V8
35,35,1989,BMW,BMW Motorcycles,12750.0,38000,980.0,29403,980cc Opposed Twin
36,36,2008,BMW,BMW E92/E93 3-Series Coupe & Convertible,24000.0,15000,3000.0,27606,3.0L Inline-Six
40,40,1965,Volvo,Volvo P1800/1800,47250.0,1000,1800.0,4107,1.8L B18B Inline-Four
42,42,1965,Ford,Ford Mustang 1964.5-1966,37400.0,80000,4735.843,30292,289ci V8 
43,43,1989,BMW,BMW E30 3-Series,13250.0,88000,2500.0,61611,2.5-Liter M20 Inline-Six
44,44,2006,BMW,BMW E46 3-Series Convertible,16750.0,61000,3000.0,12590,3.0-Liter Inline-Six
47,47,1971,Alfa Romeo,Alfa Romeo Montreal,68000.0,64000,2600.0,75207,2.6-Liter Quad-Cam V8
48,48,1987,Chevrolet,Chevrolet Monte Carlo,16750.0,20000,6276.2210000000005,13601,Replacement 383ci Stroker V8
49,49,2003,Land Rover,Land Rover Discovery,31000.0,20000,4600.0,19464,4.6-Liter V8
53,53,2005,Mazda,Mazda Miata,11300.0,79000,1800.0,39503,Turbocharged 1.8-Liter Inline-Four
54,54,1970,Plymouth,Plymouth Barracuda,84129.0,68000,6784.218,49676,Replacement 414ci V8
55,55,2018,Mercedes-Benz,Mercedes-Benz AMG GT,162000.0,6000,4000.0,85260,Twin-Turbocharged 4.0L V8
56,56,1991,Toyota,Toyota SW20 MR2,20500.0,143000,2200.0,80215,2.2-Liter Turbocharged 3S-GTE Inline-Four
57,57,1988,Saab,Saab 900,13500.0,77000,2000.0,22205,Turbocharged 2.0-Liter Inline-Four
58,58,1969,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,78000.0,45000,5735.45,64014,350ci V8
59,59,2000,BMW,BMW E46 3-Series Touring,9254.0,172000,3000.0,28210,Replacement 3.0-Liter M54B30 Inline-Six
60,60,1986,Porsche,Porsche 944 Turbo,25000.0,61000,2500.0,37922,Turbocharged 2.5-Liter Inline-Four
63,63,2005,Mercedes-Benz,Mercedes-Benz E55 & E63 AMG Wagon,25605.0,116000,5400.0,2889,Supercharged 5.4L V8
65,65,1996,Porsche,Porsche 993 911,94000.0,72000,3600.0,95123,3.6-Liter M64 Flat-Six
67,67,2013,Mercedes-Benz,Mercedes-Benz Gelandewagen,68500.0,51000,5500.0,44102,5.5-Liter M273 V8
69,69,2006,BMW,BMW E46 330 ZHP,15750.0,87000,3000.0,91011,3.0-Liter M54 Inline-Six
71,71,1968,Volkswagen,Volkswagen Type 3,16250.0,33000,1600.0,4543,1.6-Liter Flat-Four
72,72,1998,Toyota,Toyota Supra,99000.0,78000,3000.0,78155,Twin-Turbocharged 3.0L Inline-Six
73,73,1966,Ford,Ford Bronco U13/U14/U15 1966-1977,36750.0,14000,2785.79,83401,170ci Inline-Six
74,74,1977,Oldsmobile,Oldsmobile Cutlass,13000.0,39000,5735.45,29588,350ci V8
75,75,1999,Ferrari,Ferrari 550 Maranello,111000.0,35000,5500.0,95608,5.5-Liter DOHC V12
77,77,2012,Mercedes-Benz,Mercedes-Benz AMG,34500.0,48000,6300.0,20879,6.3-Liter V8 
78,78,2020,BMW,BMW M2,56000.0,10000,3000.0,97212,Twin-Turbocharged 3.0L Inline-Six
79,79,1990,Ferrari,Ferrari 348,205000.0,5000,3400.0,90049,3.4-Liter V8
80,80,1968,Triumph,Triumph GT6,19000.0,74000,2000.0,95125,2.0-Liter Inline-Six
82,82,2005,Aston Martin,Aston Martin DB9,30007.0,54000,6000.0,7069,6.0-Liter DOHC V12
83,83,1953,Chrysler,Chrysler Town & Country,25000.0,47000,5424.097,29403,331ci Hemi V8
84,84,2003,BMW,BMW E46 M3,41000.0,74000,3200.0,28677,Supercharged 3.2-Liter S54 Inline-Six
85,85,1973,Volkswagen,Volkswagen Bus,25000.0,68000,2000.0,92691,2.0-Liter Flat-four
87,87,1986,Toyota,Toyota Pickup,20000.0,169000,2400.0,37210,2.4-Liter 22RE Inline-Four
88,88,1948,MG,MG TC,26755.0,9000,1250.0,43449,"XPAG 1,250cc Inline-Four"
91,91,1997,Nissan,Nissan 240SX,16500.0,58000,2400.0,16851,2.4-Liter DOHC Inline-Four
94,94,1996,Nissan,Nissan 300ZX,55500.0,157000,3000.0,28117,3.0-Liter V6
95,95,2012,Porsche,Porsche 987 Cayman,65000.0,80000,3400.0,36203,3.4-Liter Flat Six
